"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"
"1510"	"ENSG00000204880"	"chr17"	39253233	39254393	"-"	1161
"1511"	"ENSG00000241241"	"chr17"	39257754	39258461	"-"	708
"1512"	"ENSG00000212722"	"chr17"	39261584	39262740	"+"	1157
"1513"	"ENSG00000212721"	"chr17"	39273433	39274606	"-"	1174
"1514"	"ENSG00000213416"	"chr17"	39279343	39280419	"-"	1077
"1515"	"ENSG00000198090"	"chr17"	39295685	39296739	"-"	1055
"1516"	"ENSG00000198271"	"chr17"	39305178	39306054	"-"	877
"1517"	"ENSG00000171396"	"chr17"	39315910	39316983	"-"	1074
"1518"	"ENSG00000196156"	"chr17"	39323484	39324424	"-"	941
"1519"	"ENSG00000244537"	"chr17"	39333698	39334460	"-"	763
"1520"	"ENSG00000198443"	"chr17"	39340354	39341594	"-"	1241
"1521"	"ENSG00000251439"	"chr17"	39343196	39343388	"-"	193
"1522"	"ENSG00000240542"	"chr17"	39344697	39344713	"+"	770
"1523"	"ENSG00000248807"	"chr17"	39368958	39369489	"+"	532
"1524"	"ENSG00000239886"	"chr17"	39382900	39383904	"+"	1005
"1525"	"ENSG00000204873"	"chr17"	39388715	39389705	"+"	991
"1526"	"ENSG00000187272"	"chr17"	39394297	39395256	"+"	960
"1527"	"ENSG00000241595"	"chr17"	39405939	39406904	"+"	966
"1528"	"ENSG00000198083"	"chr17"	39411636	39412616	"+"	981
"1529"	"ENSG00000212659"	"chr17"	39421591	39422893	"+"	1303
"1530"	"ENSG00000229351"	"chr17"	39427563	39428087	"+"	525
"1531"	"ENSG00000180386"	"chr17"	39431911	39432949	"+"	1039
"1532"	"ENSG00000237183"	"chr17"	39436856	39437062	"+"	207
"1533"	"ENSG00000212658"	"chr17"	39458078	39459103	"-"	1026
"1534"	"ENSG00000212657"	"chr17"	39463952	39465505	"-"	1554
"1535"	"ENSG00000186860"	"chr17"	39471173	39471947	"-"	775
"1536"	"ENSG00000233014"	"chr17"	39479679	39479760	"+"	914
"1537"	"ENSG00000108516"	"chr17"	39490884	39491059	"+"	421
"1538"	"ENSG00000006059"	"chr17"	39502344	39502488	"-"	1287
"1539"	"ENSG00000131738"	"chr17"	39519746	39520205	"-"	1607
"1540"	"ENSG00000131737"	"chr17"	39533902	39534398	"-"	1751
"1541"	"ENSG00000094796"	"chr17"	39549976	39550421	"-"	1596
"1542"	"ENSG00000234859"	"chr17"	39558668	39558760	"+"	4067
"1543"	"ENSG00000225438"	"chr17"	39562764	39562878	"-"	1293
"1544"	"ENSG00000108417"	"chr17"	39577005	39577238	"-"	1475
"1545"	"ENSG00000171360"	"chr17"	39592698	39593793	"-"	2337
"1546"	"ENSG00000236473"	"chr17"	39604435	39604464	"-"	910
"1547"	"ENSG00000108759"	"chr17"	39616063	39616491	"-"	1750
"1548"	"ENSG00000223125"	"chr17"	39624208	39624398	"+"	191
"1549"	"ENSG00000197079"	"chr17"	39632941	39633455	"-"	1778
"1550"	"ENSG00000126337"	"chr17"	39642388	39642823	"-"	1865
"1551"	"ENSG00000171401"	"chr17"	39657233	39657996	"-"	2913
"1552"	"ENSG00000229732"	"chr17"	39657235	39657568	"+"	476
"1553"	"ENSG00000171346"	"chr17"	39669995	39671944	"-"	7069
"1554"	"ENSG00000171345"	"chr17"	39679869	39680520	"-"	2336
"1555"	"ENSG00000226629"	"chr17"	39705858	39707117	"-"	2141
"1556"	"ENSG00000171403"	"chr17"	39722096	39722404	"-"	2287
"1557"	"ENSG00000186847"	"chr17"	39738531	39739392	"-"	2281
"1558"	"ENSG00000186832"	"chr17"	39766030	39766281	"-"	2475
"1559"	"ENSG00000128422"	"chr17"	39775689	39775940	"-"	2537
"1560"	"ENSG00000173801"	"chr17"	39775692	39775940	"-"	5963
"1561"	"ENSG00000214514"	"chr17"	39782579	39782883	"-"	4221
"1562"	"ENSG00000173812"	"chr17"	39845137	39846872	"+"	3623
"1563"	"ENSG00000184502"	"chr17"	39868578	39868639	"+"	470
"1564"	"ENSG00000173805"	"chr17"	39873994	39874278	"-"	6223
"1565"	"ENSG00000201920"	"chr17"	39874406	39874512	"+"	107
"1566"	"ENSG00000239542"	"chr17"	39886381	39886657	"-"	277
"1567"	"ENSG00000141696"	"chr17"	39958199	39959231	"-"	3740
"1568"	"ENSG00000141756"	"chr17"	39968932	39968991	"+"	4269
"1569"	"ENSG00000141698"	"chr17"	39981335	39981909	"-"	2836
"1570"	"ENSG00000161594"	"chr17"	39991937	39992106	"+"	2370
"1571"	"ENSG00000263830"	"chr17"	39993316	39993580	"-"	265
"1572"	"ENSG00000259623"	"chr17"	40004770	40007699	"-"	2930
"1573"	"ENSG00000178502"	"chr17"	40009797	40011573	"-"	2383
"1574"	"ENSG00000131473"	"chr17"	40023161	40024157	"-"	5217
"1575"	"ENSG00000204815"	"chr17"	40086888	40087090	"+"	2282
"1576"	"ENSG00000173786"	"chr17"	40118759	40119031	"+"	7426
"1577"	"ENSG00000168259"	"chr17"	40128451	40128788	"-"	9373
"1578"	"ENSG00000168256"	"chr17"	40163400	40163809	"+"	5563
"1579"	"ENSG00000187595"	"chr17"	40177594	40179151	"-"	5115
"1580"	"ENSG00000270010"	"chr17"	40190250	40190752	"-"	503
"1581"	"ENSG00000267221"	"chr17"	40192731	40193207	"-"	761
"1582"	"ENSG00000108771"	"chr17"	40253422	40253964	"-"	3843
"1583"	"ENSG00000108773"	"chr17"	40265126	40265860	"-"	3769
"1584"	"ENSG00000267261"	"chr17"	40271692	40271736	"-"	1199
"1585"	"ENSG00000197723"	"chr17"	40274756	40275371	"+"	616
"1586"	"ENSG00000108774"	"chr17"	40276994	40277916	"-"	2734
"1587"	"ENSG00000267658"	"chr17"	40306618	40306727	"+"	425
"1588"	"ENSG00000089558"	"chr17"	40308909	40309136	"-"	3924
"1589"	"ENSG00000161610"	"chr17"	40336078	40336546	"-"	577
"1590"	"ENSG00000167925"	"chr17"	40340817	40341939	"-"	3970
"1591"	"ENSG00000173757"	"chr17"	40351186	40353882	"-"	6447
"1592"	"ENSG00000267758"	"chr17"	40420605	40420733	"+"	496
"1593"	"ENSG00000236194"	"chr17"	40422535	40423790	"-"	1496
"1594"	"ENSG00000126561"	"chr17"	40439565	40439653	"+"	5756
"1595"	"ENSG00000168610"	"chr17"	40465342	40469580	"-"	8812
"1596"	"ENSG00000221020"	"chr17"	40551027	40551109	"+"	83
"1597"	"ENSG00000177469"	"chr17"	40554470	40557406	"-"	3828
"1598"	"ENSG00000238704"	"chr17"	40592216	40592277	"-"	62
"1599"	"ENSG00000033627"	"chr17"	40610862	40610981	"+"	10968
"1600"	"ENSG00000264314"	"chr17"	40646791	40646848	"+"	58
"1601"	"ENSG00000267222"	"chr17"	40647885	40648568	"+"	684
"1602"	"ENSG00000267632"	"chr17"	40661802	40663537	"+"	1736
"1603"	"ENSG00000265611"	"chr17"	40666206	40666325	"+"	120
"1604"	"ENSG00000256929"	"chr17"	40673736	40673966	"+"	324
"1605"	"ENSG00000267185"	"chr17"	40685550	40686027	"+"	478
"1606"	"ENSG00000108784"	"chr17"	40688190	40688673	"+"	3004
"1607"	"ENSG00000266929"	"chr17"	40688528	40688673	"+"	594
"1608"	"ENSG00000108785"	"chr17"	40698782	40698878	"+"	955
"1609"	"ENSG00000108786"	"chr17"	40701232	40705048	"+"	5658
"1610"	"ENSG00000266962"	"chr17"	40704456	40706766	"-"	2311
"1611"	"ENSG00000068120"	"chr17"	40713485	40713698	"+"	4032
"1612"	"ENSG00000108788"	"chr17"	40719086	40719346	"+"	4259
"1613"	"ENSG00000131470"	"chr17"	40724333	40725042	"-"	2573
"1614"	"ENSG00000141699"	"chr17"	40731531	40734288	"-"	5145
"1615"	"ENSG00000131462"	"chr17"	40761694	40761804	"+"	2411
"1616"	"ENSG00000267189"	"chr17"	40799852	40800161	"+"	310
"1617"	"ENSG00000267132"	"chr17"	40800196	40800756	"+"	561
"1618"	"ENSG00000037042"	"chr17"	40811323	40811964	"+"	2772
"1619"	"ENSG00000068137"	"chr17"	40819932	40822394	"-"	4839
"1620"	"ENSG00000184451"	"chr17"	40830907	40832635	"-"	2619
"1621"	"ENSG00000267042"	"chr17"	40831981	40832419	"+"	542
"1622"	"ENSG00000108797"	"chr17"	40834631	40834914	"+"	6045
"1623"	"ENSG00000267765"	"chr17"	40835205	40835560	"-"	719
"1624"	"ENSG00000108799"	"chr17"	40852293	40854610	"-"	6992
"1625"	"ENSG00000239671"	"chr17"	40866317	40866661	"+"	345
"1626"	"ENSG00000214578"	"chr17"	40904898	40904910	"-"	283
"1627"	"ENSG00000197291"	"chr17"	40905932	40908397	"-"	4168
"1628"	"ENSG00000131477"	"chr17"	40910465	40910511	"+"	1148
"1629"	"ENSG00000131475"	"chr17"	40925454	40926346	"+"	2404
"1630"	"ENSG00000126562"	"chr17"	40932696	40933334	"+"	5089
"1631"	"ENSG00000183978"	"chr17"	40947165	40948171	"-"	1922
"1632"	"ENSG00000176563"	"chr17"	40950810	40951254	"+"	3378
"1633"	"ENSG00000126581"	"chr17"	40962152	40962946	"-"	5141
"1634"	"ENSG00000131467"	"chr17"	40976402	40976431	"+"	4894
"1635"	"ENSG00000131480"	"chr17"	40996617	40998231	"+"	2657
"1636"	"ENSG00000131471"	"chr17"	41003201	41004960	"+"	4490
"1637"	"ENSG00000260105"	"chr17"	41017939	41018212	"+"	3169
"1638"	"ENSG00000213373"	"chr17"	41026687	41026880	"-"	2197
"1639"	"ENSG00000252039"	"chr17"	41043355	41043452	"-"	98
"1640"	"ENSG00000131482"	"chr17"	41052814	41053123	"+"	3296
"1641"	"ENSG00000200510"	"chr17"	41084865	41084959	"-"	95
"1642"	"ENSG00000212149"	"chr17"	41092592	41092719	"-"	128
"1643"	"ENSG00000108825"	"chr17"	41102543	41102745	"-"	2383
"1644"	"ENSG00000266967"	"chr17"	41102543	41102745	"-"	3704
"1645"	"ENSG00000267060"	"chr17"	41120105	41121203	"-"	2951
"1646"	"ENSG00000267230"	"chr17"	41127706	41129292	"-"	1587
"1647"	"ENSG00000198863"	"chr17"	41132582	41134020	"+"	4757
"1648"	"ENSG00000200127"	"chr17"	41149933	41150024	"-"	92
"1649"	"ENSG00000131469"	"chr17"	41150290	41150432	"+"	2026
"1650"	"ENSG00000068079"	"chr17"	41158742	41158985	"+"	1973
"1651"	"ENSG00000108828"	"chr17"	41166622	41168565	"-"	3501
"1652"	"ENSG00000108830"	"chr17"	41177258	41177466	"+"	4360
"1653"	"ENSG00000267267"	"chr17"	41181274	41184051	"+"	2778
"1654"	"ENSG00000012048"	"chr17"	41196312	41197819	"-"	8278
"1655"	"ENSG00000240828"	"chr17"	41231319	41231797	"+"	479
"1656"	"ENSG00000198496"	"chr17"	41277627	41277787	"+"	2096
"1657"	"ENSG00000267681"	"chr17"	41296973	41297272	"+"	300
"1658"	"ENSG00000267002"	"chr17"	41316200	41316829	"-"	1191
"1659"	"ENSG00000267595"	"chr17"	41320187	41320266	"-"	80
"1660"	"ENSG00000267340"	"chr17"	41321897	41322094	"-"	198
"1661"	"ENSG00000188554"	"chr17"	41322498	41322960	"+"	8424
"1662"	"ENSG00000184988"	"chr17"	41363854	41363941	"+"	3578
"1663"	"ENSG00000236383"	"chr17"	41368960	41369293	"-"	2130
"1664"	"ENSG00000188825"	"chr17"	41447213	41448407	"-"	6895
"1665"	"ENSG00000252882"	"chr17"	41473361	41473459	"-"	99
"1666"	"ENSG00000175906"	"chr17"	41476327	41476461	"+"	1612
"1667"	"ENSG00000251763"	"chr17"	41489795	41489898	"+"	104
"1668"	"ENSG00000267151"	"chr17"	41522075	41522276	"+"	506
"1669"	"ENSG00000252279"	"chr17"	41522875	41522981	"+"	107
"1670"	"ENSG00000252729"	"chr17"	41550953	41551058	"+"	106
"1671"	"ENSG00000237888"	"chr17"	41553566	41554033	"+"	468
"1672"	"ENSG00000067596"	"chr17"	41561233	41561553	"+"	9302
"1673"	"ENSG00000175832"	"chr17"	41605212	41606111	"-"	3607
"1674"	"ENSG00000267747"	"chr17"	41622153	41622183	"+"	561
"1675"	"ENSG00000005102"	"chr17"	41717756	41719400	"-"	2707
"1676"	"ENSG00000267440"	"chr17"	41757641	41757733	"+"	549
"1677"	"ENSG00000267253"	"chr17"	41795682	41797804	"-"	2123
"1678"	"ENSG00000215964"	"chr17"	41825568	41825631	"+"	64
"1679"	"ENSG00000167941"	"chr17"	41831099	41833131	"-"	2300
"1680"	"ENSG00000108861"	"chr17"	41843489	41847182	"-"	5012
"1681"	"ENSG00000231256"	"chr17"	41857803	41857954	"+"	3753
"1682"	"ENSG00000267604"	"chr17"	41860172	41860547	"-"	494
"1683"	"ENSG00000161647"	"chr17"	41878167	41879245	"-"	4491
"1684"	"ENSG00000161649"	"chr17"	41924516	41924627	"+"	4745
"1685"	"ENSG00000108852"	"chr17"	41952725	41955351	"-"	5875
"1686"	"ENSG00000267166"	"chr17"	41991801	41992138	"-"	832
"1687"	"ENSG00000267496"	"chr17"	41994576	41995326	"+"	751
"1688"	"ENSG00000267420"	"chr17"	42004931	42005128	"+"	521
"1689"	"ENSG00000261514"	"chr17"	42015731	42015765	"+"	434
"1690"	"ENSG00000108849"	"chr17"	42018172	42019022	"-"	987
"1691"	"ENSG00000131096"	"chr17"	42030106	42030557	"-"	1181
"1692"	"ENSG00000161653"	"chr17"	42081914	42082457	"+"	2822
"1693"	"ENSG00000091947"	"chr17"	42088556	42089604	"-"	3029
"1694"	"ENSG00000221044"	"chr17"	42102389	42102591	"-"	203
"1695"	"ENSG00000161654"	"chr17"	42112003	42113668	"-"	2811
"1696"	"ENSG00000141349"	"chr17"	42148103	42151307	"+"	4548
"1697"	"ENSG00000108840"	"chr17"	42154114	42155783	"-"	7618
"1698"	"ENSG00000267638"	"chr17"	42193280	42193363	"+"	359
"1699"	"ENSG00000212446"	"chr17"	42213251	42213357	"-"	107
"1700"	"ENSG00000125319"	"chr17"	42219274	42219513	"+"	3005
"1701"	"ENSG00000161664"	"chr17"	42247815	42247905	"+"	2230
"1702"	"ENSG00000267080"	"chr17"	42253341	42255184	"-"	2460
"1703"	"ENSG00000168591"	"chr17"	42264338	42264477	"+"	3511
"1704"	"ENSG00000087152"	"chr17"	42269173	42271779	"-"	5301
"1705"	"ENSG00000267394"	"chr17"	42276250	42276302	"+"	528
"1706"	"ENSG00000108312"	"chr17"	42282401	42284735	"-"	6993
"1707"	"ENSG00000260793"	"chr17"	42298769	42298984	"+"	2012
"1708"	"ENSG00000267691"	"chr17"	42306128	42307596	"-"	1469
"1709"	"ENSG00000004939"	"chr17"	42325753	42327906	"-"	5287
"1710"	"ENSG00000214921"	"chr17"	42325758	42326749	"-"	1433
"1711"	"ENSG00000268413"	"chr17"	42335297	42335320	"+"	57
"1712"	"ENSG00000239702"	"chr17"	42368226	42368519	"-"	294
"1713"	"ENSG00000267750"	"chr17"	42376942	42381575	"-"	5403
"1714"	"ENSG00000221496"	"chr17"	42381382	42381570	"+"	189
"1715"	"ENSG00000252628"	"chr17"	42384456	42384541	"+"	86
"1716"	"ENSG00000108309"	"chr17"	42385781	42386307	"+"	4905
"1717"	"ENSG00000013306"	"chr17"	42396993	42397484	"-"	3526
"1718"	"ENSG00000267211"	"chr17"	42405981	42406104	"+"	337
"1719"	"ENSG00000030582"	"chr17"	42422614	42422973	"+"	3520
"1720"	"ENSG00000161682"	"chr17"	42430583	42432559	"-"	3592
"1721"	"ENSG00000267634"	"chr17"	42442382	42443119	"-"	738
"1722"	"ENSG00000005961"	"chr17"	42449548	42449791	"-"	5551
"1723"	"ENSG00000186566"	"chr17"	42472652	42478821	"-"	9442
"1724"	"ENSG00000240589"	"chr17"	42486429	42486726	"-"	298
"1725"	"ENSG00000180340"	"chr17"	42634925	42636907	"+"	1983
"1726"	"ENSG00000271222"	"chr17"	42673714	42673834	"+"	325
"1727"	"ENSG00000267384"	"chr17"	42722779	42722958	"+"	180
"1728"	"ENSG00000266979"	"chr17"	42723732	42724072	"-"	2025
"1729"	"ENSG00000180336"	"chr17"	42733762	42734050	"+"	8619
"1730"	"ENSG00000180329"	"chr17"	42750437	42750893	"-"	2855
"1731"	"ENSG00000267160"	"chr17"	42751057	42753625	"-"	2569
"1732"	"ENSG00000161692"	"chr17"	42785976	42786207	"+"	7146
"1733"	"ENSG00000264251"	"chr17"	42796232	42796498	"-"	267
"1734"	"ENSG00000240305"	"chr17"	42797128	42797965	"-"	838
"1735"	"ENSG00000073670"	"chr17"	42836399	42836628	"+"	4770
"1736"	"ENSG00000267505"	"chr17"	42870567	42870742	"+"	562
"1737"	"ENSG00000267405"	"chr17"	42872115	42872480	"-"	587
"1738"	"ENSG00000182963"	"chr17"	42875816	42883205	"-"	8660
"1739"	"ENSG00000131097"	"chr17"	42923721	42923794	"+"	861
"1740"	"ENSG00000108883"	"chr17"	42927311	42928737	"-"	10375
"1741"	"ENSG00000264540"	"chr17"	42961354	42961639	"+"	286
"1742"	"ENSG00000167131"	"chr17"	42976510	42976898	"+"	3895
"1743"	"ENSG00000214447"	"chr17"	42977135	42977227	"+"	3404
"1744"	"ENSG00000224911"	"chr17"	42980529	42980927	"-"	504
"1745"	"ENSG00000131095"	"chr17"	42982376	42982517	"-"	6086
"1746"	"ENSG00000186185"	"chr17"	43002077	43003867	"-"	4658
"1747"	"ENSG00000267334"	"chr17"	43025280	43026307	"+"	1028
"1748"	"ENSG00000131094"	"chr17"	43037061	43037735	"-"	1295
"1749"	"ENSG00000267788"	"chr17"	43059882	43060140	"+"	259
"1750"	"ENSG00000172992"	"chr17"	43100708	43102092	"-"	2830
"1751"	"ENSG00000136448"	"chr17"	43128978	43129061	"+"	6669
"1752"	"ENSG00000200888"	"chr17"	43148810	43148911	"+"	102
"1753"	"ENSG00000161714"	"chr17"	43186335	43190072	"-"	6750
"1754"	"ENSG00000181513"	"chr17"	43209967	43210030	"+"	3776
"1755"	"ENSG00000186834"	"chr17"	43224684	43229468	"+"	4785
"1756"	"ENSG00000224505"	"chr17"	43227767	43228286	"-"	696
"1757"	"ENSG00000168517"	"chr17"	43238067	43238310	"+"	2038
"1758"	"ENSG00000267288"	"chr17"	43246172	43247697	"-"	2376
"1759"	"ENSG00000267121"	"chr17"	43268298	43268537	"-"	3719
"1760"	"ENSG00000184922"	"chr17"	43298811	43299013	"+"	7563
"1761"	"ENSG00000233175"	"chr17"	43315395	43316608	"-"	2293
"1762"	"ENSG00000233483"	"chr17"	43322553	43322666	"-"	1073
"1763"	"ENSG00000267278"	"chr17"	43325292	43325370	"+"	3775
"1764"	"ENSG00000184361"	"chr17"	43331760	43331880	"-"	1946
"1765"	"ENSG00000006062"	"chr17"	43340488	43342167	"-"	5132
"1766"	"ENSG00000199953"	"chr17"	43404732	43404863	"-"	132
"1767"	"ENSG00000267446"	"chr17"	43448768	43448957	"-"	386
"1768"	"ENSG00000159314"	"chr17"	43471275	43472999	"-"	10419
"1769"	"ENSG00000267344"	"chr17"	43474298	43474600	"+"	457
"1770"	"ENSG00000264038"	"chr17"	43494179	43494272	"-"	94
"1771"	"ENSG00000225190"	"chr17"	43513266	43515335	"-"	9233
"1772"	"ENSG00000236234"	"chr17"	43530210	43530454	"+"	769
"1773"	"ENSG00000264225"	"chr17"	43547899	43548188	"-"	290
"1774"	"ENSG00000214425"	"chr17"	43578685	43579396	"-"	7346
"1775"	"ENSG00000131484"	"chr17"	43580626	43580892	"+"	814
"1776"	"ENSG00000265821"	"chr17"	43603820	43604112	"-"	293
"1777"	"ENSG00000266918"	"chr17"	43608943	43611204	"+"	2262
"1778"	"ENSG00000267198"	"chr17"	43623170	43623310	"+"	2278
"1779"	"ENSG00000267246"	"chr17"	43627147	43627421	"-"	826
"1780"	"ENSG00000266504"	"chr17"	43631076	43631163	"-"	470
"1781"	"ENSG00000264070"	"chr17"	43663237	43664295	"+"	1059
"1782"	"ENSG00000263503"	"chr17"	43678235	43679706	"-"	1472
"1783"	"ENSG00000204652"	"chr17"	43685909	43686349	"+"	441
"1784"	"ENSG00000204650"	"chr17"	43697694	43697738	"+"	8638
"1785"	"ENSG00000120088"	"chr17"	43699267	43699407	"+"	3730
"1786"	"ENSG00000263715"	"chr17"	43699274	43699407	"+"	634
"1787"	"ENSG00000265547"	"chr17"	43809069	43809310	"-"	517
"1788"	"ENSG00000265964"	"chr17"	43810719	43810892	"-"	560
"1789"	"ENSG00000264589"	"chr17"	43921017	43921527	"-"	1619
"1790"	"ENSG00000185294"	"chr17"	43922256	43924438	"+"	2183
"1791"	"ENSG00000186868"	"chr17"	43971748	43972052	"+"	14924
"1792"	"ENSG00000262881"	"chr17"	43985036	43985749	"-"	759
"1793"	"ENSG00000256762"	"chr17"	44076616	44077060	"+"	445
"1794"	"ENSG00000120071"	"chr17"	44107282	44109932	"-"	13921
"1795"	"ENSG00000262372"	"chr17"	44112679	44112732	"+"	304
"1796"	"ENSG00000252698"	"chr17"	44204762	44204817	"+"	56
"1797"	"ENSG00000214401"	"chr17"	44270942	44271251	"+"	976
"1798"	"ENSG00000238723"	"chr17"	44292436	44292537	"-"	102
"1799"	"ENSG00000262500"	"chr17"	44320972	44322410	"+"	1439
"1800"	"ENSG00000262539"	"chr17"	44336917	44337972	"-"	1056
"1801"	"ENSG00000261575"	"chr17"	44344403	44344885	"+"	674
"1802"	"ENSG00000228696"	"chr17"	44352150	44352784	"-"	4110
"1803"	"ENSG00000176681"	"chr17"	44370099	44371395	"+"	6506
"1804"	"ENSG00000265411"	"chr17"	44397045	44397325	"+"	281
"1805"	"ENSG00000260075"	"chr17"	44450221	44450232	"+"	1471
"1806"	"ENSG00000266497"	"chr17"	44581312	44581443	"+"	470
"1807"	"ENSG00000238083"	"chr17"	44588877	44588974	"+"	6756
"1808"	"ENSG00000185829"	"chr17"	44594068	44594379	"-"	4849
"1809"	"ENSG00000265315"	"chr17"	44614900	44615180	"+"	281
"1810"	"ENSG00000232300"	"chr17"	44636196	44638051	"-"	2183
"1811"	"ENSG00000073969"	"chr17"	44668035	44668153	"+"	5009
"1812"	"ENSG00000213326"	"chr17"	44798948	44799533	"-"	586
"1813"	"ENSG00000108379"	"chr17"	44839872	44841987	"-"	4334
"1814"	"ENSG00000158955"	"chr17"	44910567	44910806	"+"	3313
"1815"	"ENSG00000262031"	"chr17"	44987108	44987532	"-"	494
"1816"	"ENSG00000261886"	"chr17"	44994136	44994197	"-"	395
"1817"	"ENSG00000210709"	"chr17"	44998490	44998615	"+"	126
"1818"	"ENSG00000108433"	"chr17"	45000483	45000998	"+"	5438
"1819"	"ENSG00000262633"	"chr17"	45000499	45000587	"+"	889
"1820"	"ENSG00000264999"	"chr17"	45050383	45050466	"+"	84
"1821"	"ENSG00000179673"	"chr17"	45055523	45056614	"-"	1092
"1822"	"ENSG00000263142"	"chr17"	45055847	45056137	"+"	5074
"1823"	"ENSG00000262879"	"chr17"	45061411	45061435	"-"	3348
"1824"	"ENSG00000263650"	"chr17"	45119191	45119483	"+"	293
"1825"	"ENSG00000004897"	"chr17"	45195069	45198383	"-"	6824
"1826"	"ENSG00000221016"	"chr17"	45195868	45195957	"+"	90
"1827"	"ENSG00000239291"	"chr17"	45236557	45237359	"-"	803
"1828"	"ENSG00000262265"	"chr17"	45238441	45238499	"-"	401
"1829"	"ENSG00000261872"	"chr17"	45247192	45247774	"+"	673
"1830"	"ENSG00000198336"	"chr17"	45277812	45277952	"+"	1636
"1831"	"ENSG00000252088"	"chr17"	45298008	45298091	"+"	84
"1832"	"ENSG00000259207"	"chr17"	45331212	45331306	"+"	4913
"1833"	"ENSG00000259753"	"chr17"	45331263	45331306	"+"	2785
"1834"	"ENSG00000238419"	"chr17"	45336724	45336786	"-"	63
"1835"	"ENSG00000263293"	"chr17"	45380832	45381148	"-"	707
"1836"	"ENSG00000178852"	"chr17"	45400656	45401108	"+"	6672
"1837"	"ENSG00000253347"	"chr17"	45486688	45487035	"-"	513
"1838"	"ENSG00000228782"	"chr17"	45527934	45528244	"-"	2096
"1839"	"ENSG00000141279"	"chr17"	45600308	45600429	"+"	11514
"1840"	"ENSG00000206734"	"chr17"	45634779	45634880	"+"	102
"1841"	"ENSG00000263766"	"chr17"	45681226	45681484	"-"	1242
"1842"	"ENSG00000108424"	"chr17"	45726842	45727650	"+"	7678
"1843"	"ENSG00000264558"	"chr17"	45759783	45760049	"-"	267
"1844"	"ENSG00000198933"	"chr17"	45771447	45771560	"+"	4280
"1845"	"ENSG00000073861"	"chr17"	45810610	45811311	"+"	2614
"1846"	"ENSG00000006025"	"chr17"	45884738	45885765	"-"	6572
"1847"	"ENSG00000159111"	"chr17"	45900638	45901824	"-"	2764
"1848"	"ENSG00000141294"	"chr17"	45908993	45909365	"+"	2820
"1849"	"ENSG00000141295"	"chr17"	45915058	45915816	"-"	3043
"1850"	"ENSG00000189120"	"chr17"	45922279	45925852	"-"	4070
"1851"	"ENSG00000264243"	"chr17"	45940708	45940785	"+"	816
"1852"	"ENSG00000266821"	"chr17"	45956838	45959764	"-"	2927
"1853"	"ENSG00000264920"	"chr17"	45968621	45968947	"-"	4286
"1854"	"ENSG00000167182"	"chr17"	45973516	45973659	"+"	3112
"1855"	"ENSG00000234494"	"chr17"	45974696	45974806	"-"	2531
"1856"	"ENSG00000266601"	"chr17"	46007048	46007338	"-"	335
"1857"	"ENSG00000108439"	"chr17"	46018872	46019417	"+"	2861
"1858"	"ENSG00000263798"	"chr17"	46022790	46022810	"+"	575
"1859"	"ENSG00000264019"	"chr17"	46024168	46024221	"-"	527
"1860"	"ENSG00000167183"	"chr17"	46029333	46030629	"-"	1519
"1861"	"ENSG00000108465"	"chr17"	46045176	46045295	"+"	6070
"1862"	"ENSG00000264701"	"chr17"	46057764	46058048	"-"	531
"1863"	"ENSG00000005243"	"chr17"	46103533	46103841	"-"	1847
"1864"	"ENSG00000207947"	"chr17"	46114527	46114613	"-"	87
"1865"	"ENSG00000263412"	"chr17"	46122503	46125435	"-"	2933
"1866"	"ENSG00000082641"	"chr17"	46125691	46125718	"+"	5825
"1867"	"ENSG00000266341"	"chr17"	46137745	46137822	"-"	192
"1868"	"ENSG00000108468"	"chr17"	46147414	46148941	"-"	3087
"1869"	"ENSG00000206954"	"chr17"	46166040	46166146	"-"	107
"1870"	"ENSG00000002919"	"chr17"	46180719	46180751	"+"	3606
"1871"	"ENSG00000141293"	"chr17"	46210802	46211178	"-"	2648
"1872"	"ENSG00000221739"	"chr17"	46233789	46233873	"-"	85
"1873"	"ENSG00000263787"	"chr17"	46263300	46263380	"+"	687
"1874"	"ENSG00000207306"	"chr17"	46274042	46274148	"-"	107
"1875"	"ENSG00000235300"	"chr17"	46371709	46371877	"+"	1561
"1876"	"ENSG00000266222"	"chr17"	46454624	46454768	"-"	333
"1877"	"ENSG00000200538"	"chr17"	46459734	46459948	"-"	215
"1878"	"ENSG00000264451"	"chr17"	46537732	46537838	"+"	701
"1879"	"ENSG00000206805"	"chr17"	46556459	46556560	"+"	102
"1880"	"ENSG00000120094"	"chr17"	46605888	46608359	"-"	2472
"1881"	"ENSG00000173917"	"chr17"	46618256	46618993	"-"	3460
"1882"	"ENSG00000230148"	"chr17"	46620913	46620999	"+"	1557
"1883"	"ENSG00000120093"	"chr17"	46626232	46628543	"-"	7456
"1884"	"ENSG00000233101"	"chr17"	46626992	46627010	"+"	1913
"1885"	"ENSG00000239552"	"chr17"	46634624	46634720	"+"	845
"1886"	"ENSG00000182742"	"chr17"	46652875	46654382	"-"	3757
"1887"	"ENSG00000257178"	"chr17"	46656992	46659621	"-"	2630
"1888"	"ENSG00000120075"	"chr17"	46668619	46669818	"-"	2041
"1889"	"ENSG00000108511"	"chr17"	46671639	46674034	"-"	4078
"1890"	"ENSG00000260027"	"chr17"	46684594	46685457	"-"	1520
